# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 253K of event 'cycles'
# Event count (approx.): 123309724822
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.00%  python3.10  [kernel.kallsyms]  [k] find_vma
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_pmu_nop_int
     0.00%  python3.10  [kernel.kallsyms]  [k] __cond_resched
     0.00%  python3.10  [kernel.kallsyms]  [k] calc_timer_values
     0.00%  python3.10  [kernel.kallsyms]  [k] kernel_clone
     0.00%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node_trace
     0.00%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_trace
     0.00%  python3.10  [kernel.kallsyms]  [k] rb_first
     0.00%  python3.10  python3.10         [.] 0x000000000015bb20
     0.00%  python3.10  python3.10         [.] 0x0000000000172974
     0.00%  python3.10  python3.10         [.] 0x0000000000179592
     0.00%  python3.10  python3.10         [.] 0x000000000018d0b9
     0.00%  python3.10  python3.10         [.] 0x000000000018d596
     0.00%  python3.10  python3.10         [.] 0x000000000018d70a
     0.00%  python3.10  [kernel.kallsyms]  [k] pick_next_task
     0.00%  python3.10  python3.10         [.] 0x000000000015ef8c
     0.00%  python3.10  python3.10         [.] 0x000000000018d06d
     0.00%  python3.10  python3.10         [.] 0x000000000018d66a
     0.00%  :2299258    [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.00%  python3.10  libc.so.6          [.] __strncat_ssse3
     0.00%  python3.10  [kernel.kallsyms]  [k] resched_curr
     0.00%  :2299258    python3.10         [.] _PyDict_GetItemIdWithError
     0.00%  python3.10  [kernel.kallsyms]  [k] __update_blocked_fair
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_idx_default
     0.00%  python3.10  libc.so.6          [.] 0x00000000001a0970
     0.00%  python3.10  python3.10         [.] PyEval_RestoreThread
     0.00%  python3.10  python3.10         [.] 0x000000000018d066
     0.00%  python3.10  python3.10         [.] 0x000000000018d0fb
     0.00%  python3.10  [kernel.kallsyms]  [k] rb_insert_color
     0.00%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  python3.10  [kernel.kallsyms]  [k] __perf_event_header_size
     0.00%  python3.10  [kernel.kallsyms]  [k] __srcu_read_lock
     0.00%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.00%  python3.10  [kernel.kallsyms]  [k] memcg_slab_post_alloc_hook
     0.00%  python3.10  libc.so.6          [.] __deadline_to_ms
     0.00%  python3.10  python3.10         [.] PyTuple_New
     0.00%  python3.10  python3.10         [.] 0x000000000011d4fc
     0.00%  python3.10  python3.10         [.] 0x0000000000133922
     0.00%  python3.10  python3.10         [.] 0x0000000000137a60
     0.00%  python3.10  python3.10         [.] 0x0000000000137ac9
     0.00%  python3.10  python3.10         [.] 0x0000000000138730
     0.00%  python3.10  python3.10         [.] 0x00000000001598c4
     0.00%  python3.10  python3.10         [.] 0x00000000001598cd
     0.00%  python3.10  python3.10         [.] 0x000000000015af97
     0.00%  python3.10  python3.10         [.] 0x000000000016653d
     0.00%  python3.10  python3.10         [.] 0x0000000000172614
     0.00%  python3.10  python3.10         [.] 0x00000000001795ed
     0.00%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.00%  python3.10  python3.10         [.] 0x000000000017f971
     0.00%  python3.10  python3.10         [.] 0x0000000000188dec
     0.00%  python3.10  python3.10         [.] 0x0000000000188efb
     0.00%  python3.10  python3.10         [.] 0x000000000018c0a9
     0.00%  python3.10  python3.10         [.] 0x000000000018d07c
     0.00%  python3.10  python3.10         [.] 0x000000000018d59d
     0.00%  python3.10  python3.10         [.] 0x0000000000243806
     0.00%  python3.10  python3.10         [.] 0x0000000000179530
     0.00%  python3.10  python3.10         [.] 0x000000000012cff3
     0.00%  python3.10  python3.10         [.] 0x000000000012bd50
     0.00%  python3.10  [kernel.kallsyms]  [k] pud_val
     0.00%  python3.10  [kernel.kallsyms]  [k] memcpy_erms
     0.00%  python3.10  [kernel.kallsyms]  [k] get_obj_cgroup_from_current
     0.00%  python3.10  [kernel.kallsyms]  [k] page_counter_try_charge
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_init_task
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_pmu_event_init
     0.00%  python3.10  python3.10         [.] 0x00000000001225e5
     0.00%  python3.10  python3.10         [.] 0x000000000015b562
     0.00%  python3.10  python3.10         [.] 0x0000000000167e17
     0.00%  python3.10  python3.10         [.] 0x0000000000169e94
     0.00%  python3.10  python3.10         [.] 0x00000000001740af
     0.00%  python3.10  python3.10         [.] 0x00000000001795b3
     0.00%  python3.10  python3.10         [.] 0x00000000001795fa
     0.00%  python3.10  python3.10         [.] 0x0000000000188d12
     0.00%  python3.10  python3.10         [.] 0x0000000000188e95
     0.00%  python3.10  python3.10         [.] 0x00000000001d48d0
     0.00%  python3.10  python3.10         [.] 0x0000000000293dba
     0.00%  python3.10  python3.10         [.] 0x0000000000137ada
     0.00%  python3.10  python3.10         [.] 0x000000000012e070
     0.00%  python3.10  python3.10         [.] 0x000000000012e081
     0.00%  python3.10  [kernel.kallsyms]  [k] try_to_wake_up
     0.00%  python3.10  python3.10         [.] 0x000000000012e07f
     0.00%  python3.10  python3.10         [.] 0x000000000011b2d6
     0.00%  :2299258    python3.10         [.] 0x00000000001f618b
     0.00%  python3.10  python3.10         [.] 0x00000000001215a0
     0.00%  :2299258    python3.10         [.] 0x000000000015f037
     0.00%  python3.10  [kernel.kallsyms]  [k] __x64_sys_futex
     0.00%  python3.10  python3.10         [.] 0x000000000011b2f6
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_note_context_switch
     0.00%  python3.10  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.00%  :2299258    [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.00%  python3.10  python3.10         [.] 0x000000000025b55e
     0.00%  python3.10  [kernel.kallsyms]  [k] _copy_from_user
     0.00%  :2299258    libc.so.6          [.] __strcat_ssse3
     0.00%  :2299258    [kernel.kallsyms]  [k] __update_load_avg_blocked_se
     0.00%  :2299258    [kernel.kallsyms]  [k] futex_wait
     0.00%  :2299258    libc.so.6          [.] __stpncpy_sse2_unaligned
     0.00%  python3.10  [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  :2299258    python3.10         [.] 0x000000000030e440
     0.00%  :2299258    [kernel.kallsyms]  [k] sysvec_thermal
     0.00%  python3.10  [kernel.kallsyms]  [k] delayacct_add_tsk
     0.00%  python3.10  [kernel.kallsyms]  [k] task_h_load
     0.00%  :2299258    python3.10         [.] 0x00000000001435a2
     0.00%  python3.10  [kernel.kallsyms]  [k] pick_next_entity
     0.00%  :2299258    python3.10         [.] _PyUnicodeWriter_PrepareInternal
     0.00%  python3.10  [kernel.kallsyms]  [k] __calc_delta
     0.00%  :2299258    [kernel.kallsyms]  [k] __slab_free
     0.00%  :2299258    [kernel.kallsyms]  [k] update_sg_lb_stats
     0.00%  :2299258    python3.10         [.] _PyObject_GetMethod
     0.00%  python3.10  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.00%  python3.10  python3.10         [.] 0x000000000012162c
     0.00%  python3.10  python3.10         [.] 0x000000000012166e
     0.00%  :2299258    [kernel.kallsyms]  [k] update_sd_pick_busiest
     0.00%  :2299258    [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.00%  :2299258    [kernel.kallsyms]  [k] dequeue_entity
     0.00%  :2299258    [kernel.kallsyms]  [k] __ip_finish_output
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_pmu_nop_txn
     0.00%  :2299258    python3.10         [.] 0x0000000000293f75
     0.00%  python3.10  [kernel.kallsyms]  [k] psi_flags_change
     0.00%  :2299258    [kernel.kallsyms]  [k] __sys_sendto
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.00%  python3.10  [kernel.kallsyms]  [k] ___perf_sw_event
     0.00%  :2299258    python3.10         [.] 0x0000000000206691
     0.00%  :2299258    python3.10         [.] 0x000000000017c3a0
     0.00%  :2299258    python3.10         [.] 0x00000000001c12af
     0.00%  :2299258    [kernel.kallsyms]  [k] wake_q_add_safe
     0.00%  :2299258    python3.10         [.] 0x00000000001f62cd
     0.00%  :2299258    python3.10         [.] PySequence_List
     0.00%  :2299258    python3.10         [.] 0x000000000017c402
     0.00%  :2299258    [kernel.kallsyms]  [k] aa_label_sk_perm.part.0
     0.00%  :2299258    python3.10         [.] 0x0000000000151de2
     0.00%  python3.10  [kernel.kallsyms]  [k] native_write_msr_safe
     0.00%  :2299258    libc.so.6          [.] ____wcstof_l_internal
     0.00%  python3.10  [kernel.kallsyms]  [k] check_preempt_curr
     0.00%  python3.10  [kernel.kallsyms]  [k] prepare_task_switch
     0.00%  :2299258    [kernel.kallsyms]  [k] __bitmap_and
     0.00%  :2299258    [kernel.kallsyms]  [k] plist_add
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_delack_timer
     0.00%  :2299258    python3.10         [.] 0x00000000002395bc
     0.00%  :2299258    python3.10         [.] 0x00000000002d9ea4
     0.00%  :2299258    python3.10         [.] 0x00000000002d0480
     0.00%  python3.10  [kernel.kallsyms]  [k] put_prev_entity
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_swevent_event
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_context_sched_out
     0.00%  python3.10  [kernel.kallsyms]  [k] irqentry_enter
     0.00%  :2299258    python3.10         [.] 0x0000000000293ef1
     0.00%  :2299258    [kernel.kallsyms]  [k] __cond_resched
     0.00%  :2299258    python3.10         [.] 0x000000000015e10f
     0.00%  :2299258    [kernel.kallsyms]  [k] page_counter_cancel
     0.00%  :2299258    [kernel.kallsyms]  [k] apparmor_ipv4_postroute
     0.00%  :2299258    python3.10         [.] 0x000000000015b16f
     0.00%  :2299258    [kernel.kallsyms]  [k] trigger_load_balance
     0.00%  :2299258    python3.10         [.] 0x000000000013fd16
     0.00%  :2299258    python3.10         [.] _PyUnicodeWriter_Init
     0.00%  :2299258    [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.00%  :2299258    [kernel.kallsyms]  [k] timekeeping_advance
     0.00%  :2299258    [kernel.kallsyms]  [k] xfd_validate_state
     0.00%  :2299258    [kernel.kallsyms]  [k] irqentry_enter
     0.00%  :2299258    python3.10         [.] 0x000000000017bffc
     0.00%  :2299258    python3.10         [.] 0x000000000011d509
     0.00%  :2299258    python3.10         [.] 0x00000000001418ab
     0.00%  :2299258    python3.10         [.] 0x0000000000294ea0
     0.00%  :2299258    [kernel.kallsyms]  [k] aa_check_perms
     0.00%  :2299258    [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.00%  :2299258    [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.00%  :2299258    [kernel.kallsyms]  [k] find_busiest_queue
     0.00%  :2299258    python3.10         [.] 0x000000000018bfea
     0.00%  :2299258    python3.10         [.] 0x000000000006efb0
     0.00%  :2299258    libc.so.6          [.] re_search_internal
     0.00%  :2299258    [kernel.kallsyms]  [k] update_rt_rq_load_avg
     0.00%  :2299258    python3.10         [.] 0x000000000015ef93
     0.00%  python3.10  [kernel.kallsyms]  [k] scheduler_tick
     0.00%  :2299258    python3.10         [.] 0x000000000017a864
     0.00%  :2299258    python3.10         [.] PyObject_LengthHint
     0.00%  :2299258    [kernel.kallsyms]  [k] sk_filter_trim_cap
     0.00%  :2299258    python3.10         [.] PyMem_Malloc
     0.00%  :2299258    python3.10         [.] 0x0000000000122826
     0.00%  :2299258    [kernel.kallsyms]  [k] llist_reverse_order
     0.00%  :2299258    [kernel.kallsyms]  [k] refill_stock
     0.00%  :2299258    [kernel.kallsyms]  [k] x86_thermal_enabled
     0.00%  python3.10  [kernel.kallsyms]  [k] taskstats_exit
     0.00%  :2299258    [kernel.kallsyms]  [k] __kmalloc_node_track_caller
     0.00%  :2299258    [kernel.kallsyms]  [k] cpus_share_cache
     0.00%  :2299258    python3.10         [.] 0x000000000015d8fb
     0.00%  :2299258    python3.10         [.] 0x0000000000294729
     0.00%  :2299258    python3.10         [.] 0x0000000000277666
     0.00%  :2299258    python3.10         [.] 0x000000000011b514
     0.00%  python3.10  [kernel.kallsyms]  [k] psi_task_switch
     0.00%  :2299258    python3.10         [.] 0x0000000000127f5d
     0.00%  :2299258    python3.10         [.] 0x000000000016b940
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_run_queues
     0.00%  :2299258    [kernel.kallsyms]  [k] __fget_files
     0.00%  python3.10  [kernel.kallsyms]  [k] select_task_rq_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%  :2299258    libc.so.6          [.] __strncpy_sse2_unaligned
     0.00%  python3.10  libc.so.6          [.] __vfwscanf_internal
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_queue_rcv
     0.00%  :2299258    libc.so.6          [.] parse_expression
     0.00%  :2299258    [kernel.kallsyms]  [k] pick_next_task
     0.00%  :2299258    python3.10         [.] 0x00000000002774cb
     0.00%  python3.10  [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] skb_release_data
     0.00%  :2299258    [kernel.kallsyms]  [k] enqueue_task
     0.00%  python3.10  python3.10         [.] 0x000000000012a047
     0.00%  :2299258    [kernel.kallsyms]  [k] timekeeping_adjust.constprop.0
     0.00%  :2299258    python3.10         [.] PyObject_GetItem
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_cwnd_restart
     0.00%  :2299258    [kernel.kallsyms]  [k] __lock_text_start
     0.00%  :2299258    [kernel.kallsyms]  [k] do_futex
     0.00%  :2299258    [kernel.kallsyms]  [k] __note_gp_changes
     0.00%  :2299258    [kernel.kallsyms]  [k] __cgroup_account_cputime_field
     0.00%  :2299258    [kernel.kallsyms]  [k] __inet_lookup_established
     0.00%  :2299258    [kernel.kallsyms]  [k] acct_account_cputime
     0.00%  :2299258    python3.10         [.] 0x00000000001d4961
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_pmu_nop_void
     0.00%  :2299258    libc.so.6          [.] __GI___pthread_tpp_change_priority
     0.00%  :2299258    python3.10         [.] 0x0000000000141243
     0.00%  :2299258    [kernel.kallsyms]  [k] therm_throt_process
     0.00%  :2299258    python3.10         [.] 0x00000000002d9ed7
     0.00%  :2299258    [kernel.kallsyms]  [k] hash_futex
     0.00%  :2299258    libc.so.6          [.] 0x0000000000199ef5
     0.00%  :2299258    python3.10         [.] 0x0000000000151efe
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_qs
     0.00%  :2299258    python3.10         [.] 0x0000000000293df9
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_push
     0.00%  :2299258    libc.so.6          [.] 0x000000000019d981
     0.00%  python3.10  [kernel.kallsyms]  [k] down_read
     0.00%  :2299258    python3.10         [.] PyDict_SetItem
     0.00%  :2299258    libc.so.6          [.] ____wcstod_l_internal
     0.00%  :2299258    [kernel.kallsyms]  [k] task_h_load
     0.00%  :2299258    python3.10         [.] 0x00000000002c4478
     0.00%  python3.10  [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.00%  :2299258    [kernel.kallsyms]  [k] calculate_imbalance
     0.00%  python3.10  python3.10         [.] 0x000000000011b406
     0.00%  :2299258    [kernel.kallsyms]  [k] intel_pmu_disable_all
     0.00%  python3.10  [kernel.kallsyms]  [k] gup_pmd_range.constprop.0
     0.00%  :2299258    [kernel.kallsyms]  [k] __x64_sys_futex
     0.00%  python3.10  libc.so.6          [.] getlogin_fd0
     0.00%  python3.10  python3.10         [.] 0x000000000011b4eb
     0.00%  :2299258    [kernel.kallsyms]  [k] futex_wake
     0.00%  :2299258    python3.10         [.] _PyUnicode_InsertThousandsGrouping
     0.00%  :2299258    libc.so.6          [.] __res_context_send
     0.00%  python3.10  [kernel.kallsyms]  [k] rseq_ip_fixup
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_pmu_enable
     0.00%  :2299258    python3.10         [.] PyObject_Format
     0.00%  :2299258    [kernel.kallsyms]  [k] do_softirq
     0.00%  python3.10  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath.part.0
     0.00%  :2299258    libc.so.6          [.] parse_qtd_backslash
     0.00%  :2299258    [kernel.kallsyms]  [k] sched_clock_cpu
     0.00%  python3.10  [kernel.kallsyms]  [k] __x64_sys_rt_sigprocmask
     0.00%  python3.10  libc.so.6          [.] 0x0000000000199ee0
     0.00%  python3.10  libc.so.6          [.] 0x00000000001a1104
     0.00%  python3.10  python3.10         [.] 0x000000000015ef86
     0.00%  python3.10  [kernel.kallsyms]  [k] update_cfs_group
     0.00%  :2299258    python3.10         [.] 0x0000000000151e66
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_ack
     0.00%  :2299258    python3.10         [.] 0x000000000017c410
     0.00%  :2299258    [kernel.kallsyms]  [k] net_rx_action
     0.00%  :2299258    [kernel.kallsyms]  [k] rb_erase
     0.00%  python3.10  python3.10         [.] 0x00000000001215a6
     0.00%  :2299258    [kernel.kallsyms]  [k] memset_erms
     0.00%  :2299258    python3.10         [.] 0x00000000001522f3
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_recvmsg_locked
     0.00%  :2299258    [vdso]             [.] 0x00000000000007f7
     0.00%  :2299258    [kernel.kallsyms]  [k] sysvec_call_function_single
     0.00%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.00%  python3.10  [kernel.kallsyms]  [k] __percpu_down_read
     0.00%  python3.10  [kernel.kallsyms]  [k] timerqueue_add
     0.00%  python3.10  [kernel.kallsyms]  [k] select_idle_sibling
     0.00%  :2299258    libc.so.6          [.] str_to_mpn
     0.00%  :2299258    python3.10         [.] 0x0000000000233c61
     0.00%  :2299258    [kernel.kallsyms]  [k] _find_next_bit
     0.00%  :2299258    [kernel.kallsyms]  [k] irq_enter_rcu
     0.00%  :2299258    [kernel.kallsyms]  [k] kmem_cache_free
     0.00%  :2299258    libc.so.6          [.] 0x000000000019d5a8
     0.00%  :2299258    [kernel.kallsyms]  [k] eth_type_trans
     0.00%  :2299258    python3.10         [.] 0x0000000000169ab0
     0.00%  :2299258    python3.10         [.] PyLong_FromUnicodeObject
     0.00%  :2299258    libc.so.6          [.] __wcscoll_l
     0.00%  :2299258    libc.so.6          [.] pthread_setaffinity_np@@GLIBC_2.34
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000307d28
     0.00%  python3.10  python3.10         [.] 0x0000000000206c5f
     0.00%  python3.10  python3.10         [.] 0x000000000028b800
     0.00%  python3.10  python3.10         [.] 0x000000000029498b
     0.00%  python3.10  python3.10         [.] 0x000000000030e3b0
     0.00%  :2299258    python3.10         [.] 0x0000000000189fc0
     0.00%  python3.10  [kernel.kallsyms]  [k] check_preempt_wakeup
     0.00%  :2299258    [kernel.kallsyms]  [k] ip_skb_dst_mtu
     0.00%  :2299258    [kernel.kallsyms]  [k] task_clock_event_add
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_start_this_gp
     0.00%  python3.10  python3.10         [.] PyObject_GetItem
     0.00%  python3.10  [kernel.kallsyms]  [k] account_user_time
     0.00%  :2299258    [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.00%  :2299258    [kernel.kallsyms]  [k] blkcg_maybe_throttle_current
     0.00%  python3.10  [kernel.kallsyms]  [k] blocking_notifier_call_chain
     0.00%  :2299258    python3.10         [.] 0x0000000000171c4d
     0.00%  python3.10  python3.10         [.] 0x000000000015ffe6
     0.00%  python3.10  python3.10         [.] 0x0000000000122877
     0.00%  python3.10  python3.10         [.] 0x0000000000127f54
     0.00%  python3.10  python3.10         [.] 0x00000000001512a0
     0.00%  python3.10  python3.10         [.] 0x0000000000188de8
     0.00%  python3.10  python3.10         [.] 0x0000000000198e44
     0.00%  python3.10  python3.10         [.] 0x000000000020bf3d
     0.00%  :2299258    python3.10         [.] 0x0000000000293e54
     0.00%  python3.10  [kernel.kallsyms]  [k] rmqueue
     0.00%  python3.10  python3.10         [.] PyFunction_NewWithQualName
     0.00%  python3.10  python3.10         [.] 0x00000000001522e3
     0.00%  python3.10  python3.10         [.] 0x00000000001b0613
     0.00%  :2299258    python3.10         [.] 0x0000000000179c58
     0.00%  :2299258    [kernel.kallsyms]  [k] native_read_pmc
     0.00%  python3.10  python3.10         [.] PyObject_GC_Del
     0.00%  python3.10  [kernel.kallsyms]  [k] intel_thermal_interrupt
     0.00%  python3.10  python3.10         [.] 0x00000000002b82a1
     0.00%  :2299258    [kernel.kallsyms]  [k] __perf_event_task_sched_out
     0.00%  python3.10  python3.10         [.] 0x00000000001d4931
     0.00%  python3.10  python3.10         [.] 0x00000000001215c0
     0.00%  python3.10  python3.10         [.] 0x0000000000127f5d
     0.00%  python3.10  [kernel.kallsyms]  [k] obj_cgroup_uncharge_pages
     0.00%  python3.10  python3.10         [.] _PyFunction_Vectorcall
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000307a25
     0.00%  python3.10  python3.10         [.] 0x0000000000143449
     0.00%  python3.10  python3.10         [.] 0x0000000000137c08
     0.00%  python3.10  libcrypto.so.3     [.] 0x00000000000b2ab0
     0.00%  python3.10  [kernel.kallsyms]  [k] arch_perf_update_userpage
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_pmu_extra_regs
     0.00%  python3.10  python3.10         [.] 0x000000000017c386
     0.00%  python3.10  python3.10         [.] 0x0000000000188eee
     0.00%  python3.10  python3.10         [.] 0x000000000018bfce
     0.00%  python3.10  [kernel.kallsyms]  [k] dequeue_task_fair
     0.00%  python3.10  python3.10         [.] 0x00000000001d4902
     0.00%  python3.10  python3.10         [.] 0x0000000000122884
     0.00%  python3.10  [kernel.kallsyms]  [k] idr_alloc_u32
     0.00%  python3.10  [kernel.kallsyms]  [k] inc_rlimit_ucounts
     0.00%  python3.10  python3.10         [.] _PyUnicodeWriter_Init
     0.00%  python3.10  python3.10         [.] 0x0000000000137a96
     0.00%  python3.10  python3.10         [.] 0x0000000000143407
     0.00%  python3.10  python3.10         [.] 0x00000000001795d2
     0.00%  python3.10  python3.10         [.] 0x000000000017f87a
     0.00%  python3.10  python3.10         [.] 0x0000000000188d00
     0.00%  python3.10  python3.10         [.] 0x0000000000188d4e
     0.00%  python3.10  python3.10         [.] 0x000000000018928c
     0.00%  python3.10  python3.10         [.] 0x0000000000189853
     0.00%  python3.10  python3.10         [.] 0x000000000018c0ca
     0.00%  python3.10  python3.10         [.] 0x000000000018d0e8
     0.00%  python3.10  python3.10         [.] 0x000000000018d4b6
     0.00%  python3.10  python3.10         [.] 0x000000000018d51f
     0.00%  python3.10  python3.10         [.] 0x000000000018d964
     0.00%  python3.10  python3.10         [.] 0x0000000000294f00
     0.00%  python3.10  python3.10         [.] 0x0000000000294f47
     0.00%  python3.10  libcrypto.so.3     [.] 0x000000000030817d
     0.00%  python3.10  libc.so.6          [.] 0x00000000001a0a91
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.00%  python3.10  [kernel.kallsyms]  [k] sync_regs
     0.00%  python3.10  python3.10         [.] 0x0000000000159964
     0.00%  python3.10  python3.10         [.] 0x00000000001732c0
     0.00%  python3.10  python3.10         [.] 0x000000000018d25c
     0.00%  python3.10  python3.10         [.] 0x0000000000206a26
     0.00%  python3.10  python3.10         [.] 0x00000000002d9eaa
     0.00%  python3.10  python3.10         [.] 0x0000000000188fd0
     0.00%  python3.10  python3.10         [.] 0x000000000018d753
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_reserve_hardware
     0.00%  python3.10  python3.10         [.] 0x0000000000137a93
     0.00%  python3.10  python3.10         [.] 0x000000000015b520
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_exclude_event
     0.00%  python3.10  [kernel.kallsyms]  [k] intel_get_event_constraints
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_pmu_nop_txn
     0.00%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%  python3.10  libc.so.6          [.] __strstr_sse2_unaligned
     0.00%  python3.10  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.00%  python3.10  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.00%  python3.10  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.00%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.00%  python3.10  [kernel.kallsyms]  [k] exit_mm
     0.00%  python3.10  [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.00%  python3.10  [kernel.kallsyms]  [k] uprobe_free_utask
     0.00%  python3.10  python3.10         [.] 0x000000000017c39c
     0.00%  python3.10  [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.00%  python3.10  [kernel.kallsyms]  [k] run_posix_cpu_timers
     0.00%  python3.10  python3.10         [.] 0x0000000000121749
     0.00%  python3.10  python3.10         [.] 0x000000000015b50b
     0.00%  python3.10  [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.00%  python3.10  python3.10         [.] 0x00000000001664d0
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_update_time
     0.00%  python3.10  [kernel.kallsyms]  [k] __hrtimer_init


# Samples: 253K of event 'instructions'
# Event count (approx.): 173345364253
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    45.06%  :2299258    python3.10         [.] _PyEval_EvalFrameDefault
     8.70%  :2299258    python3.10         [.] PyObject_RichCompare
     6.61%  :2299258    python3.10         [.] 0x000000000012161a
     4.82%  :2299258    python3.10         [.] 0x0000000000121590
     3.04%  :2299258    python3.10         [.] 0x0000000000179c52
     2.21%  :2299258    python3.10         [.] 0x000000000015b546
     2.04%  :2299258    python3.10         [.] 0x00000000001215c4
     1.82%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     1.59%  :2299258    python3.10         [.] 0x0000000000121676
     1.36%  :2299258    python3.10         [.] 0x0000000000121613
     1.34%  :2299258    python3.10         [.] 0x0000000000121605
     1.03%  :2299258    python3.10         [.] 0x000000000012160b
     0.96%  :2299258    python3.10         [.] 0x0000000000121623
     0.87%  :2299258    python3.10         [.] 0x0000000000121737
     0.84%  :2299258    python3.10         [.] 0x0000000000179c0e
     0.82%  :2299258    python3.10         [.] 0x0000000000121679
     0.70%  :2299258    python3.10         [.] 0x0000000000121730
     0.64%  :2299258    python3.10         [.] 0x000000000012159b
     0.60%  :2299258    python3.10         [.] 0x000000000012167d
     0.60%  :2299258    python3.10         [.] 0x00000000001215a3
     0.57%  :2299258    python3.10         [.] 0x0000000000121635
     0.56%  :2299258    python3.10         [.] 0x00000000001215ab
     0.45%  :2299258    python3.10         [.] 0x00000000001215dc
     0.44%  :2299258    python3.10         [.] 0x000000000015b541
     0.43%  :2299258    python3.10         [.] 0x000000000012160f
     0.42%  :2299258    python3.10         [.] 0x0000000000121628
     0.42%  :2299258    python3.10         [.] 0x000000000012167b
     0.42%  :2299258    python3.10         [.] 0x00000000001215cb
     0.41%  python3.10  python3.10         [.] 0x000000000012161a
     0.39%  :2299258    python3.10         [.] 0x00000000001215f2
     0.38%  :2299258    python3.10         [.] 0x0000000000121638
     0.36%  :2299258    python3.10         [.] 0x000000000015b537
     0.32%  :2299258    python3.10         [.] 0x0000000000179be0
     0.31%  :2299258    python3.10         [.] 0x0000000000121616
     0.28%  :2299258    python3.10         [.] 0x000000000015b506
     0.28%  :2299258    python3.10         [.] 0x0000000000121660
     0.27%  :2299258    python3.10         [.] 0x00000000001215e9
