# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 2088778333
#
# Overhead  Command     Shared Object                             Symbol                                 
# ........  ..........  ........................................  .......................................
#
     0.54%  python3.10  python3.10            [.] 0x0000000000121623
     0.53%  python3.10  python3.10            [.] 0x00000000001215cb
     0.53%  python3.10  python3.10            [.] 0x0000000000121635
     0.48%  python3.10  python3.10            [.] 0x0000000000121596
     0.45%  python3.10  python3.10            [.] 0x000000000012167d
     0.43%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.40%  python3.10  python3.10            [.] 0x0000000000121605
     0.38%  python3.10  python3.10            [.] 0x00000000001215bc
     0.37%  python3.10  python3.10            [.] 0x0000000000121590
     0.34%  python3.10  python3.10            [.] 0x0000000000121730
     0.33%  python3.10  python3.10            [.] 0x00000000001215a3
     0.30%  python3.10  python3.10            [.] 0x0000000000121616
     0.24%  python3.10  python3.10            [.] 0x00000000001215ab
     0.22%  python3.10  python3.10            [.] 0x000000000012167b
     0.21%  python3.10  python3.10            [.] 0x00000000001215c4
     0.21%  python3.10  python3.10            [.] 0x00000000001215a2
     0.21%  python3.10  python3.10            [.] 0x000000000012167f
     0.21%  python3.10  python3.10            [.] 0x000000000012160f
     0.20%  python3.10  python3.10            [.] 0x00000000001215e2
     0.17%  python3.10  python3.10            [.] 0x000000000012159d
     0.16%  python3.10  python3.10            [.] 0x00000000001215e9
     0.15%  python3.10  python3.10            [.] 0x00000000001215a7
     0.15%  python3.10  python3.10            [.] 0x000000000012159b
     0.14%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.11%  python3.10  python3.10            [.] 0x00000000001215dc
     0.10%  python3.10  python3.10            [.] 0x0000000000121677
     0.09%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.09%  python3.10  [kernel.kallsyms]     [k] kfree
     0.08%  python3.10  python3.10            [.] 0x00000000001215c0
     0.06%  python3.10  python3.10            [.] 0x0000000000121628
     0.06%  python3.10  [kernel.kallsyms]     [k] refill_stock
     0.06%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.06%  python3.10  python3.10            [.] 0x0000000000121638
     0.06%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_insert
     0.05%  python3.10  [kernel.kallsyms]     [k] arch_perf_update_userpage
     0.05%  python3.10  python3.10            [.] PyList_New
     0.05%  python3.10  python3.10            [.] 0x000000000015c237
     0.05%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.05%  python3.10  [kernel.kallsyms]     [k] perf_swevent_add
     0.05%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.05%  python3.10  python3.10            [.] _PyObject_GenericGetAttrWithDict
     0.05%  python3.10  python3.10            [.] 0x000000000015ffe2
     0.05%  python3.10  [kernel.kallsyms]     [k] raw_spin_rq_unlock
     0.05%  python3.10  python3.10            [.] 0x0000000000121599
     0.05%  python3.10  [kernel.kallsyms]     [k] iterate_groups
     0.05%  python3.10  python3.10            [.] _PyUnicode_JoinArray
     0.04%  python3.10  python3.10            [.] 0x0000000000137b95
     0.04%  python3.10  [kernel.kallsyms]     [k] perf_log_itrace_start
     0.04%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.04%  python3.10  python3.10            [.] 0x000000000028e080
     0.04%  python3.10  [kernel.kallsyms]     [k] copy_user_generic_unrolled
     0.04%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.04%  python3.10  [kernel.kallsyms]     [k] ___perf_sw_event
     0.04%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node_trace
     0.04%  python3.10  python3.10            [.] 0x0000000000167e17
     0.03%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.03%  python3.10  [kernel.kallsyms]     [k] ctx_sched_in
     0.03%  python3.10  python3.10            [.] 0x000000000015230d
     0.03%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.03%  python3.10  [kernel.kallsyms]     [k] enqueue_entity
     0.03%  python3.10  [kernel.kallsyms]     [k] reweight_entity
     0.03%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.03%  python3.10  [kernel.kallsyms]     [k] __mod_zone_page_state
     0.03%  python3.10  [kernel.kallsyms]     [k] __srcu_read_lock
     0.03%  python3.10  [kernel.kallsyms]     [k] cyc2ns_read_begin
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_pmu_nop_int
     0.03%  python3.10  python3.10            [.] PyObject_SetAttr
     0.03%  python3.10  [kernel.kallsyms]     [k] __do_sys_clone3
     0.03%  python3.10  [kernel.kallsyms]     [k] dequeue_entity
     0.03%  python3.10  python3.10            [.] 0x0000000000233a10
     0.02%  python3.10  [kernel.kallsyms]     [k] hsw_get_event_constraints
     0.02%  python3.10  [kernel.kallsyms]     [k] _raw_write_lock_irq
     0.02%  python3.10  [kernel.kallsyms]     [k] perf_iterate_ctx
     0.02%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.02%  python3.10  python3.10            [.] 0x0000000000143407
     0.02%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.02%  python3.10  [kernel.kallsyms]     [k] memcg_slab_free_hook
     0.02%  python3.10  python3.10            [.] 0x00000000001630b9
     0.02%  python3.10  python3.10            [.] 0x00000000001215e5
     0.02%  python3.10  [kernel.kallsyms]     [k] find_idlest_group
     0.02%  python3.10  python3.10            [.] 0x000000000015effa
     0.02%  python3.10  python3.10            [.] 0x00000000001215a6
     0.02%  python3.10  python3.10            [.] 0x000000000017c3fc
     0.02%  python3.10  python3.10            [.] 0x000000000012166e
     0.02%  python3.10  python3.10            [.] 0x00000000001522e0
     0.02%  python3.10  [kernel.kallsyms]     [k] perf_event_update_time
     0.01%  python3.10  [kernel.kallsyms]     [k] local_clock
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_swevent_event
     0.01%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.01%  python3.10  [kernel.kallsyms]     [k] __srcu_read_unlock
     0.01%  python3.10  [kernel.kallsyms]     [k] __x64_sys_rt_sigprocmask
     0.01%  python3.10  [kernel.kallsyms]     [k] account_event
     0.01%  python3.10  [kernel.kallsyms]     [k] blkcg_maybe_throttle_current
     0.01%  python3.10  [kernel.kallsyms]     [k] hrtimer_sleeper_start_expires
     0.01%  python3.10  [kernel.kallsyms]     [k] hrtimer_start_range_ns
     0.01%  python3.10  [kernel.kallsyms]     [k] rb_insert_color
     0.01%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.01%  python3.10  python3.10            [.] PyTraceBack_Here
     0.01%  python3.10  python3.10            [.] 0x00000000000701b0
     0.01%  python3.10  python3.10            [.] 0x0000000000143c63
     0.01%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.01%  python3.10  [kernel.kallsyms]     [k] attach_entity_cfs_rq
     0.01%  python3.10  [kernel.kallsyms]     [k] get_futex_key
     0.01%  python3.10  [kernel.kallsyms]     [k] hsw_hw_config
     0.01%  python3.10  [kernel.kallsyms]     [k] rmqueue
     0.01%  python3.10  [kernel.kallsyms]     [k] security_perf_event_alloc
     0.01%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.01%  python3.10  [kernel.kallsyms]     [k] x86_get_event_constraints
     0.01%  python3.10  python3.10            [.] PyThread_get_thread_ident
     0.01%  python3.10  python3.10            [.] PyUnicode_Format
     0.01%  python3.10  python3.10            [.] PyUnicode_RichCompare
     0.01%  python3.10  python3.10            [.] _PyFunction_Vectorcall
     0.01%  python3.10  python3.10            [.] 0x0000000000152260
     0.01%  python3.10  python3.10            [.] 0x0000000000164f0d
     0.01%  python3.10  python3.10            [.] _PyErr_NormalizeException
     0.01%  python3.10  python3.10            [.] 0x0000000000188ffe
     0.01%  python3.10  [kernel.kallsyms]     [k] futex_wait
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_sched_in
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_try_init_event
     0.01%  python3.10  [kernel.kallsyms]     [k] mutex_lock
     0.01%  python3.10  python3.10            [.] PyUnicode_FromFormatV
     0.01%  python3.10  python3.10            [.] 0x000000000012d10c
     0.01%  python3.10  python3.10            [.] 0x000000000016bf48
     0.01%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.01%  python3.10  [kernel.kallsyms]     [k] __x64_sys_futex
     0.01%  python3.10  [kernel.kallsyms]     [k] arch_local_irq_enable
     0.01%  python3.10  [kernel.kallsyms]     [k] do_futex
     0.01%  python3.10  [kernel.kallsyms]     [k] should_failslab
     0.01%  python3.10  [kernel.kallsyms]     [k] x86_setup_perfctr
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a1124
     0.01%  python3.10  python3.10            [.] PyMember_SetOne
     0.01%  python3.10  python3.10            [.] 0x00000000001643c2
     0.01%  python3.10  python3.10            [.] 0x0000000000172be2
     0.01%  python3.10  [kernel.kallsyms]     [k] enqueue_task_fair
     0.01%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_context_sched_out
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a09d0
     0.01%  python3.10  python3.10            [.] 0x0000000000164e33
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_first
     0.01%  python3.10  python3.10            [.] 0x000000000028ab0b
     0.01%  python3.10  [kernel.kallsyms]     [k] allocate_fake_cpuc
     0.01%  python3.10  [kernel.kallsyms]     [k] dequeue_task_fair
     0.01%  python3.10  ld-linux-x86-64.so.2  [.] _dl_check_all_versions
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a09d7
     0.01%  python3.10  [kernel.kallsyms]     [k] intel_pmu_hw_config.part.0
     0.01%  python3.10  python3.10            [.] 0x000000000012d5d1
     0.01%  python3.10  python3.10            [.] 0x000000000012d819
     0.01%  python3.10  python3.10            [.] 0x000000000028a510
     0.01%  python3.10  python3.10            [.] 0x0000000000172b07
     0.01%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.01%  python3.10  [kernel.kallsyms]     [k] calc_timer_values
     0.01%  python3.10  python3.10            [.] 0x000000000012d280
     0.01%  python3.10  python3.10            [.] 0x000000000012e098
     0.01%  python3.10  python3.10            [.] 0x0000000000121600
     0.00%  python3.10  [kernel.kallsyms]     [k] sched_slice
     0.00%  python3.10  [kernel.kallsyms]     [k] timerqueue_add
     0.00%  python3.10  [kernel.kallsyms]     [k] finish_task_switch.isra.0
     0.00%  python3.10  python3.10            [.] 0x00000000001215d8
     0.00%  python3.10  python3.10            [.] 0x00000000001598c0
     0.00%  python3.10  python3.10            [.] 0x0000000000189014
     0.00%  python3.10  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.0
     0.00%  python3.10  [kernel.kallsyms]     [k] __next_timer_interrupt
     0.00%  python3.10  python3.10            [.] 0x0000000000121734
     0.00%  python3.10  [kernel.kallsyms]     [k] __hrtimer_next_event_base
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_pmu_nop_void
     0.00%  python3.10  [kernel.kallsyms]     [k] hrtimer_forward
     0.00%  python3.10  [kernel.kallsyms]     [k] intel_pmu_enable_all
     0.00%  python3.10  [kernel.kallsyms]     [k] __memcg_kmem_uncharge_page
     0.00%  python3.10  python3.10            [.] 0x000000000012161d
     0.00%  python3.10  [kernel.kallsyms]     [k] check_preempt_wakeup
     0.00%  python3.10  python3.10            [.] 0x000000000018d581
     0.00%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  python3.10  [kernel.kallsyms]     [k] psi_task_change
     0.00%  python3.10  python3.10            [.] 0x00000000001d4961
     0.00%  python3.10  [kernel.kallsyms]     [k] x86_pmu_enable
     0.00%  python3.10  [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.00%  python3.10  [kernel.kallsyms]     [k] __calc_delta
     0.00%  python3.10  [kernel.kallsyms]     [k] copy_semundo
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_mux_hrtimer_handler
     0.00%  python3.10  python3.10            [.] 0x00000000001215a0
     0.00%  python3.10  [kernel.kallsyms]     [k] pick_next_entity
     0.00%  python3.10  [kernel.kallsyms]     [k] __cgroup_account_cputime
     0.00%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.00%  python3.10  [kernel.kallsyms]     [k] update_min_vruntime
     0.00%  python3.10  python3.10            [.] 0x000000000015d254
     0.00%  python3.10  [kernel.kallsyms]     [k] __schedule
     0.00%  python3.10  python3.10            [.] 0x0000000000121594


#
# (Cannot load tips.txt file, please install perf!)
#
